Index,Average infiltration rate,High Low Inf,High Med Low Inf,Area,Contributing area,Drainage Area Ratio,Age,Ponding depth,Inlet condition,Outlet condition,Underdrain,% Residential,% Commercial,% Industrial,% Institutional,% Vegetation_shrub,% Vegetation_tree,% Vegetation_grass,% Vegetation_prairie,% Vegetation_bare,% Vegetation_other,Underlying soil_% sand,Underlying soil_% silt,Underlying soil_% clay,Underlying soil_% urban/disturbed,Underlying soil_% other/undefined,Underlying soil_% organic matter,Evidence of poor infiltration,% of surface with poor infiltration,Vegetation condition,Inlet feature_Curb Cut,Inlet feature_Other,Inlet feature_Overland Flow,Inlet feature_Pipe,Outlet feature_Other,Outlet feature_Overland Flow,Outlet feature_Pipe,Outlet feature_Riser Pipe,Area_PC,LandUse_PC_1,LandUse_PC_2,Veg_PC_1,Veg_PC_2,Soil_PC_1,Soil_PC_2,PoorInf_PC,Inlet_PC_1,Inlet_PC_2,Outlet_PC_1,Outlet_PC_2
IL_2022_01,4.21581834,0,1,5700,43560,8,7,4,3,3,0,30,0,0,70,40,10,0,30,20,0,89,6,3,2,0,0.26,0,0,2,1,0,0,0,0,0,1,0,-0.277744225,0.548591592,0.554758606,-0.43839896,-1.673372258,-0.846560537,-1.909577908,-0.453104679,-1.32654488,1.153340056,-1.020138766,2.727830518
IL_2022_02,12.40651062,1,2,700,39204,56,7,4,3,3,0,0,0,0,100,20,20,0,40,20,0,89,6,3,2,0,0.26,0,0,2,1,0,0,0,0,0,1,0,-0.472066156,1.462957592,0.12080264,-0.119727202,-1.408339051,-0.846560537,-1.909577908,-0.453104679,-1.32654488,1.153340056,-1.020138766,2.727830518
IL_2022_03,7.618095,0,2,1000,8712,9,5,3,3,3,0,100,0,0,0,90,0,0,0,10,0,4,38,20,38,0,0.5,0,0,2,1,0,0,0,0,0,1,0,-0.49763044,-1.584929077,1.567322529,-1.741128033,-2.457267034,0.778346161,1.013715308,-0.453104679,-1.32654488,1.153340056,-1.020138766,2.727830518
IL_2022_04,3.78018934,0,1,1000,4356,4,5,4,3,3,0,100,0,0,0,90,0,0,0,10,0,4,38,20,38,0,0.5,0,0,2,1,0,0,0,0,0,1,0,-0.502794274,-1.584929077,1.567322529,-1.741128033,-2.457267034,0.778346161,1.013715308,-0.453104679,-1.32654488,1.153340056,-1.020138766,2.727830518
IL_2022_06,9.9531297,0,2,1000,4356,4,1,4,3,3,1,0,0,0,100,10,10,0,30,0,50,2,22,11,65,0,0.32,0,0,2,0,0,1,0,0,0,1,0,-0.502794274,1.462957592,0.12080264,-0.124866819,-0.214999954,-0.422835772,1.274659782,-0.453104679,1.503979743,0.32513045,-1.020138766,2.727830518
IL_2022_07,30.684978,1,3,4200,34848,8,4,4,3,3,0,0,0,0,100,50,10,0,40,0,0,9,57,33,1,0,0.35,0,0,3,1,0,0,0,0,0,1,0,-0.34533235,1.462957592,0.12080264,-0.573190467,-1.280479672,2.353438297,0.590847953,-0.453104679,-1.32654488,1.153340056,-1.020138766,2.727830518
IL_2022_08,6.2539245,0,1,5500,43560,8,3,6,3,3,0,0,0,0,100,0,0,0,50,20,30,35,34,28,2,1,1.31,0,0,2,1,0,0,0,0,0,0,1,-0.285494891,1.462957592,0.12080264,0.831916121,-0.269074313,1.293493748,-0.178246036,-0.453104679,-1.32654488,1.153340056,1.132348543,-0.169598565
IL_2023_01,8.90147826,0,2,3400,11000,3,4,8.5,3,3,1,0,0,0,100,25,25,0,20,5,25,10,41,46,1,2,2.05,0,0,3,0,0,1,0,0,0,0,1,-0.402660215,1.462957592,0.12080264,-0.845650848,-1.235251797,2.376850923,0.652855698,-0.453104679,1.503979743,0.32513045,1.132348543,-0.169598565
IL_2023_02,10.66108104,1,2,1200,15000,13,2,5,2,3,0,0,0,0,100,0,5,0,90,0,5,9,57,33,1,0,0.35,1,20,3,0,0,0,1,0,0,0,1,-0.482705431,1.462957592,0.12080264,1.365627918,0.295841307,2.353438297,0.590847953,2.760098567,-0.603700978,-1.858377407,1.132348543,-0.169598565
IL_2023_03,14.75004924,1,3,1600,34000,21,25,6,2,3,0,10,0,0,90,0,7,0,90,3,0,89,6,3,2,0,0.26,0,0,3,1,0,0,0,0,0,0,1,-0.445881237,1.158168925,0.265454629,1.349748937,0.140447617,-0.846560537,-1.909577908,-0.453104679,-1.32654488,1.153340056,1.132348543,-0.169598565
IN_2022_01,14.30288478,1,3,8200,39204,5,9,6,3,2,1,100,0,0,0,20,10,40,30,0,0,22,45,33,0,0,0.75,0,0,3,0,0,0,1,0,0,0,1,-0.18585082,-1.584929077,1.567322529,-0.931319503,0.332661314,1.937012688,0.202132401,-0.453104679,-0.603700978,-1.858377407,1.132348543,-0.169598565
IN_2022_02,4.05211788,0,1,3678,24394,7,5,8,3,3,1,0,0,0,100,0,0,0,70,10,20,92,4,4,0,0,0.27,0,0,3,1,0,0,0,0,0,0,1,-0.376997862,1.462957592,0.12080264,1.15151965,0.086236125,-0.854442219,-2.010934821,-0.453104679,-1.32654488,1.153340056,1.132348543,-0.169598565
IN_2022_03,17.5497523,1,3,27300,26136,1,4,0,3,3,0,0,0,0,100,0,0,0,90,10,0,15,50,35,0,0,5,0,0,3,0,0,0,1,0,1,0,0,0.539802815,1.462957592,0.12080264,1.558853591,0.117841269,2.192637373,0.444570318,-0.453104679,-0.603700978,-1.858377407,-1.758410702,-0.98358954
